Ingles,Español,Traduccion
What's up?,¿Qué onda?,¿Qué pasa?
Chill out,Bajá un cambio,Relájate.
Awesome!,¡Zarpado!,¡Increíble!
Couch potato,Ñoqui,Patata couch
Screw up,Mandarse una cagada,Arruinar
Hit the sack,Me voy a hacer noni,Golpea el saco.
Bail,Rajar,Fianza
Crash,Quedarse frito,Choque
I’m broke,Estoy seco,Estoy quebrado
To ghost someone,Colgar,# Para fantasmaear a alguien #
Hit the road,Rajar,Vete a la carretera.
My bad,Mala mía,Mi error.
Hang out,Juntarse,Pasa el rato.
Gonna bounce,Me las tomo,Voy a rebotar
Hit me up,Avisame,Pégame.
No sweat,Todo bien / No pasa nada,No hay problema.
Piece of cake,Es una pavada,Pan comido.
High five,¡Chocá esos cinco!,Choca esos cinco.
Knock it off,Cortala,Ya basta.
Hot mess,Un quilombo,Capullo caliente
Ballpark figure,Más o menos,Figura Ballpark
Butt in,Meterse donde no te llaman,Culo en el culo
Put up with,Bancarse,Soporta
Spill the beans,Contar la posta,Derrama los frijoles
Rip off,Es un choreo,Desgarra.
Go big or go home,A lo grande o nada,Ve a lo grande o vete a casa.
Call it a day,Dar por terminado,Llámalo un día.
Let’s roll,"Vamos, dale",Vamos a rodar
Under the weather,Estar hecho pelota,Bajo el tiempo
Buckle down,Ponerse las pilas,Abróchate el cinturón.
No brainer,Cosa obvia,Ningún cerebro
In a heartbeat,En un toque,En un latido del corazón
Down the drain,Al pedo,Por el desagüe
Chill,Tranca,Relajarse.
Suck up to someone,Ser un chupamedias,Chupa a alguien.
Kicked the bucket,Estiró la pata,Pateó el cubo.
On the fence,Estar en duda,En la cerca
Take a rain check,Te lo debo,Para otra ocasión.
Couch surfing,Me quedo en lo de un amigo,Couch surf
Fake it till you make it,Hacela hasta que salga,Finge hasta que lo logres.
Burnout,Estar quemado,Burnout
Drive me crazy,Me saca de quicio,Me vuelves loco.
Up in the air,En veremos,Arriba en el aire
Rule of thumb,Como regla general,Regla general
Throw shade,Tirar mala onda,Arrojar sombra
Zip it,Cerrá el pico,¡Cierren la boca!
On the house,De arriba / Gratis,Invita la casa.
Take it easy,Tomátelo con soda,Tranquilízate.
Blow off steam,Descargarse,Desactivar el vapor
Piece of work,Alto personaje,Pedazo de trabajo
