,text,label_str,label
1501,white collar criminals in norway an empirical study,politics,2
2252,from parish register to the historical table the prussian population statistics in the 17th and 18th centuries,politics,2
1730,measuring eosinophil kinetics in humans,medicine,0
2770,national organic certification program status october 1994,economics,3
3169,trade integration and business cycle convergence is the relation robust across time and space,economics,3
2487,modelling the aoristic drift of the present perfect as inflation an essay in historical pragmatics,politics,2
1215,bush opens door to mexican ownership,business,5
2968,to map or not to map assessing the impact of crime maps on police officer perceptions of crime,psychology,1
1669,regional scale crop mapping using multi temporal satellite imagery,geography,4
1973,no 23416 international fund for agricultural development and haiti,geography,4
2157,sexuality and people living with physical or developmental disabilities a review of key issues,psychology,1
2572,researching it in education edited by anne mcdougall et al,politics,2
2115,politics versus psychotherapy,politics,2
1370,detection of glaucoma based on the analysis of cardiovascular signals,medicine,0
3114,companero the life and death of che guevara,politics,2
3106,reconstructing citizenship the politics of nationality reform and immigration in contemporary france by miriam feldblum albany ny suny press 1999 227p 54 50 cloth 17 95 paper,politics,2
2100,the macroeconomics of social pacts,economics,3
4022,gifts to the lick observatory,geography,4
1769,flavio de barros the illustrious and anonymous chronicler of the battle of canudos the photographs that euclides da cunha would liked to have taken,politics,2
4431,agrarcenzusok szerepe az agrarinformacios rendszerben 1895 2010,economics,3
1509,impact of changes in agricultural commodity prices on changes in retail prices of agri food products in poland in 2007 2016,economics,3
1732,theorizing knowledge from women s political practices,politics,2
1126,comptes rendus reviews of books belief and worship in native north america ake hultkrantz christopher vecsey editor with an introduction syracuse ny syracuse university press 1981 pp xxvii 330,politics,2
4783,1206 degree of alcohol intoxication on the abnormal offenders,psychology,1
2860,logistic regression models for predicting intraventricular haemorrhage in preterm infants using respiratory and blood pressure signals,medicine,0
3685,demokratieentleerung und okonomisierung des sozialen ungleichwertigkeit als folge verschobener kontrollbilanzen,politics,2
70,va develops quality assurance program,business,5
1433,magnetic anomalies in the philippine sea implications for regional tectonics,geography,4
2439,ventilation perfusion and airway response to segmental allergen challenge in allergic non asthmatic subjects,medicine,0
5058,whistle blowing does anyone want to hear,business,5
1295,improving sales predictions with search and social media data,business,5
1255,policy analysis reaches midlife,politics,2
831,teaching freud today,psychology,1
1544,geography since the second world war,geography,4
3482,the affection of direct and ultimate ownership structure toward corporate value,business,5
2850,reviewing the health of a health district part ii staff development and the public service,psychology,1
238,increasing income with diverse sources,economics,3
1780,veteran students in transition at a midwestern university,psychology,1
3585,the effects of different filters on the results of the signal averaged electrocardiogram analysis,medicine,0
1175,preserving our internet history websites on archiving via the internet,business,5
4714,on the province level stock of primary cultivated land a case study of jiangsu province,economics,3
5445,reduced binding potential of gaba a benzodiazepine receptors in individuals at ultra high risk for psychosis an 18f fluoroflumazenil positron emission tomography study,psychology,1
3603,the integration of the market for soybeans and soybean products,economics,3
1001,the postulates of game theory,economics,3
1539,temperature and its variability in oak forests in the southeastern missouri ozarks,geography,4
5552,a time series econometric model of the determinants of the level of inward foreign direct investment into pakistan,economics,3
3641,a computational theory of the hippocampal cognitive map,psychology,1
4104,intimate archives japanese canadian family photography 1939 1949,politics,2
957,antwerp builds on african breakbulk connections it is thought that up to 25 of breakable cargo passing through antwerp could be to or from africa and that has the potential to increase,business,5
2700,the performance based funding scheme of universities,business,5
4229,the aesthetics of border rays the exploration of the aesthetics features of the psychopathy narration in modern chinese literature,psychology,1
1941,development and technologic innovation of tropical crops industry in china,economics,3
2571,protective hla drb1 alleles correlate with mycobacterial specific immune response in sarcoidosis,medicine,0
5376,end of an era closing the u s general accounting office s program evaluation and methodology division,politics,2
2412,knitted includes for health monitoring,medicine,0
1618,book review department social legislation in india volumes 1 and 2 by dr k d gangrade concept publishing company delhi pages 288 and 260 respectively 1978,politics,2
