id,sentence,subject_label,label_id
0,In this paper we consider deterministic policy gradient algorithms for reinforcement learning with continuous actions.,objective,1
1,The deterministic policy gradient has a particularly appealing form: it is the expected gradient of the action-value function.,background,0
2,This simple form means that the deterministic policy gradient can be estimated much more efficiently than the usual stochastic policy gradient.,background,0
3,"To ensure adequate exploration, we introduce an off-policy actor-critic algorithm that learns a deterministic target policy from an exploratory behaviour policy.",method,2
4,We demonstrate that deterministic policy gradient algorithms can significantly outperform their stochastic counterparts in high-dimensional action spaces.,result,3
5,"The vision of next generation 5G wireless communications lies in providing very high data rates (typically of Gbps order), extremely low latency, manifold increase in base station capacity, and significant improvement in users' perceived quality of service (QoS), compared to current 4G LTE networks.",background,0
6,"Ever increasing proliferation of smart devices, introduction of new emerging multimedia applications, together with an exponential rise in wireless data (multimedia) demand and usage is already creating a significant burden on existing cellular networks.",background,0
7,"5G wireless systems, with improved data rates, capacity, latency, and QoS are expected to be the panacea of most of the current cellular networks' problems.",objective,1
8,"In this survey, we make an exhaustive review of wireless evolution toward 5G networks.",method,2
9,"We first discuss the new architectural changes associated with the radio access network (RAN) design, including air interfaces, smart antennas, cloud and heterogeneous RAN.",method,2
10,"Subsequently, we make an in-depth survey of underlying novel mm-wave physical layer technologies, encompassing new channel model estimation, directional antenna design, beamforming algorithms, and massive MIMO technologies.",method,2
11,"Next, the details of MAC layer protocols and multiplexing schemes needed to efficiently support this new physical layer are discussed.",method,2
12,"We also look into the killer applications, considered as the major driving force behind 5G.",method,2
13,"In order to understand the improved user experience, we provide highlights of new QoS, QoE, and SON features associated with the 5G evolution.",method,2
14,"For alleviating the increased network energy consumption and operating expenditure, we make a detail review on energy awareness and cost efficiency.",method,2
15,"While recent literature has partly advanced our understanding of mobile application business models, less attention has been given to identify the most successful business model especially in the game area.",background,0
16,"In this vein, this paper presents a comparative analysis of six Iranian android games in an app store “Iran Apps” which were top level games in terms of download and rate during a 3-month study.",objective,1
17,"The results reveal that freemium and In-app purchase models were more successful, while advertising model can be efficiently used as a complementary model.",result,3
18,This provides valuable insight into why some mobile applications are more successful than others.,result,3
19,Instagram is the fastest growing social network site globally.,background,0
20,"This study investigates motives for its use, and its relationship to contextual age and narcissism.",objective,1
21,"A survey of 239 college students revealed that the main reasons for Instagram use are “Surveillance/Knowledge about others,” “Documentation,” “Coolness,” and “Creativity.",objective,1
22,”,other,4
23,"The next significant finding was a positive relationship between those who scored high in interpersonal interaction and using Instagram for coolness, creative purposes, and surveillance.",result,3
24,"Another interesting finding shows that there is a positive relationship between high levels of social activity (traveling, going to sporting events, visiting friends, etc.) and being motivated to use Instagram as a means of documentation.",result,3
25,"In reference to narcissism, there was a positive relationship between using Instagram to be cool and for surveillance.",result,3
26,Theoretical contributions of this study relate to our understanding of uses and gratifications theory.,result,3
27,This study uncovers new motives for social media use not identified in previous literature.,result,3
28,© 2015 Elsevier Ltd.,other,4
29,Previous research has demonstrated that the experience of reading e-books is not equivalent to reading textbooks.,background,0
30,This study examines factors influencing preference for e-books as well as reported use of e-book content.,background,0
31,"Although the present student cohort is the most technologically savvy to ever enter universities, students do not prefer e-books over textbooks regardless of their gender, computer use or comfort with computers.",background,0
32,No significant correlations existed between the number of e-books previously used and overall preference of e-books: Participants who had previously used an e-book still preferred print texts for learning.,background,0
33,"Despite the ability to easily access supplemental content through e-books via hyperlinks and other features, students were more likely to use special features in print books than in e-books.",background,0
34,2010 Elsevier Ltd.,other,4
35,All rights reserved.,other,4
36,Digital market has never been so unstable due to more and more demanding users and new disruptive competitors.,background,0
37,CEOs from most of industries investigate digitalization opportunities.,objective,1
38,"Through a Systematic Literature Review, we found that digital transformation is more than just a technological shift.",method,2
39,"According to this study, these transformations have had an impact on the business models, the operational processes and the end-users experience.",method,2
