text,label_str,label
impaired immune response to second hand cigarette smoke in the rat lung,medicine,0
strategies for evaluating field placement programs,psychology,1
the life presidency by african leaders the case of guinea,politics,2
navigating university policies to support postsecondary education programs for students with intellectual disabilities,psychology,1
democracy s global quest a noble crusade wrapped in dirty reality,politics,2
high frequency oscillatory ventilation in patients with chronic obstructive pulmonary disease,medicine,0
development of computer aided diagnosis system for 3d multi detector row ct images of livers,medicine,0
causality and migration a statistical resolution of the chicken or egg fowl up,economics,3
research on empirical evaluation of regional low carbon innovation system a case of six provinces in central china,economics,3
empirical investigation of key business factors for digital game performance,economics,3
the politics of wage price decisions a four country analysis by edelman murray and fleming r w urbana university of illinois press 1965 pp 331 6 75,politics,2
the methamphetamine experience a nida partnership,psychology,1
clinical evaluation of the kaist ewha colonoscopy simulator ii,medicine,0
verification of the polish geodetic reference frame by means of a new solution based on permanent gnss data from the years 2011 2014,geography,4
the enclave society towards a sociology of immobility,politics,2
cultural relations between germany and iran and its impacts on intellectual movement in iran,politics,2
abdul hadi hairi shī īsm and constitutionalism in iran a study of the role played by the persian residents of iraq in iranian politics xiv 274 pp leiden e j brill 1977 guilders 64,politics,2
the north american free trade agreement comment from a mexican perspective,economics,3
cervical spine injuries from motor vehicle accidents,medicine,0
discussion on developing direction of financial regulatory system in china,business,5
compositional effects role systems and the survival of small discussion groups,politics,2
on the track of the tungus,geography,4
differentiating corticobasal degeneration and alzheimer disease by longitudinal clinical and cognitive features,psychology,1
le tramway une question d equilibre,geography,4
on technical innovations at colleges and universities,business,5
the distribution of consumer goods,business,5
economic knowledge and high school student attitudes toward the american economic system business and labor unions,economics,3
international social work practicum in india,psychology,1
foreign direct investment export and economic growth in pakistan iran turkey and malaysia multivariate var analysis,economics,3
foreign direct investment fdi and standard of living in nigeria,economics,3
comparison of methods for land use classification incorporating remote sensing and gis inputs,geography,4
alveolar epithelial and lung endothelial activation injury after inhaled lipopolysaccharide in healthy human volunteers,medicine,0
more alphabet soup no thank you i m full,business,5
book reviews the politics of sri lanka 1947 1973 by a jeyaratnam wilson london macmillan 1974 347pp 7 40,sociology,6
the palgrave review of british politics edited by michael rush and philip giddings and the europeanizatrion of british politics edited by ian bache and andrew jordan,politics,2
an evaluation of the wto committee on trade and environment,economics,3
where there is no health research what can be done to fill the global gaps in health research,economics,3
age mate of twin sibling effects on interactions between monkey mothers and infants,psychology,1
resena de seleccion formacion y practica de los docentes investigadores la carrera docente eees de felix e gonzalez dir,sociology,6
measuring risk political risk insurance premiums and domestic political institutions,politics,2
trends that will influence counselor preparation in the 1980s,psychology,1
the shakespearian playing companies,politics,2
lohnsubventionen fur den niedriglohnbereich,economics,3
das fordern der empathie bei kindern mit faustlos,psychology,1
exploiting social capabilities in the minority game,economics,3
the group as complicit in boundary violations commentary on dimen,psychology,1
why the assertion of a nationalist presidency does not support claims for expansive presidential power,politics,2
the design charette ways to envision sustainable futures,economics,3
iconoclastic images in the history of education another look at children in revolt in two children s films from the 1930s,politics,2
political blogging and re envisioning the virtual public sphere muslim christian discourses in two egyptian blogs,politics,2
passengers or political actors children s participation in transport policy and the micro political geographies of the family,politics,2
palynological evidence for climatic change along the eastern iberian peninsula and balearic islands,geography,4
how to innovate in the party s supervisory system,business,5
bleomycin downregulates ace 2 in alveolar epithelial cells through a posttranscriptional mechanism inhibitable by angiotensin 1 7,medicine,0
the relationship between changes in social social support and adjustment to aids in gay males,psychology,1
comunicacao cientifica a arte de preparar e apresentar resultados cientificos,psychology,1
in and out of japan,sociology,6
anglo norman manorial settlement in ireland an assessment,geography,4
authority and power in the free church tradition a social case study of the american baptist convention paul m harrison,sociology,6
ecology and the political system,economics,3
norm entrepreneurs scandinavia s role in world politics,politics,2
the communicative value of local languages an underestimated interest in theories of linguistic justice,politics,2
re trees over boundaries,geography,4
design of a co_2 enriching system for sugar free plant tissue culture,business,5
midi politics leo a loubere radicalism in mediterranean france its rise and decline 1848 1914 albany state university of new york press 1974 pp 258 20 00,politics,2
endothelin 1 induced stimulation of collagen synthesis in human lung fibroblasts is mediated via activation of erk map kinase pathway,medicine,0
sto godina casopisa annals of the association of american geographers,geography,4
analysis of economic efficiency of land utilization in heilongjiang province based on the spss,economics,3
social milieu and language,sociology,6
the vocational baccalaureate a gateway to higher education,economics,3
va develops quality assurance program,business,5
stadtgeographie ausgewahlter sekundarzentren in berlin west stadtgeographie ausgewahlter sekundarzentren in berlin west,geography,4
alum dependent regulation of th2 th17 responses in experimental allergic airways disease,medicine,0
a negotiated settlement the counter reformation in upper austria under the habsburgs,politics,2
farmers income and production responses to rural taxation reform in three regions in china,economics,3
the harmonization and the conflict between the privacy right and the freedom of press,politics,2
conducting beethoven s symphonies in fin de siecle france tempo gesture and the conquest of image,politics,2
ethnic identity during war the case of german american societies during world war i,politics,2
the concept of state security and the basic contents of maintaining state security,business,5
prostorska organizacija družbene infrastrukture v obcini ravne s posebnim ozirom na ks crna,geography,4
l espace de la douleur chez loaisel de treogate 1752 1812,sociology,6
cohabiting in multiethnic community forms representations and images of the diversity,sociology,6
demonstration research on eco tourism and sustainable rural development taking taihuyuan eco tourism project as example in limo township,business,5
using the cochrane library to define core journals utilizing infectious disease as an example,medicine,0
satisfying the multiple goals of tort law,business,5
the perception of prosody and speaker gender in normal hearing listeners and cochlear implant recipients,psychology,1
health care utilization and costs among privately insured patients with bipolar i disorder,economics,3
political advocacy for the chronic mental disabled,politics,2
on the development of harmonious society from fantasy to reality,politics,2
a novel mobile application to assist maternal health workers in rural india,medicine,0
what is impulse buying an analytical network processing framework for prioritizing factors affecting impulse buying,psychology,1
the functioning of the international monetary system a critique of the perspective of the industrial countries,economics,3
a probe into library resources based three dimensional publicity mechanism in college libraries,business,5
on demand calibration and evaluation for electromagnetically tracked laparoscope in augmented reality visualization,medicine,0
rodent control on california ranges,geography,4
printing presses history and development from the fifteenth century to modern times james moran,sociology,6
god invented war to teach americans geography,sociology,6
a comparative study of zhe in three novels by feng menglong and in yunnan dialect,geography,4
impact of agricultural credit on wheat productivity in district jhang pakistan,economics,3
between intimacy and enmity spain and the philippines post suez,politics,2
relationship between insomnia depression and mortality a 12 year follow up of older adults in the community,psychology,1
revisiting the supreme court s opinion in brown v board of education from a multiculturalist perspective,psychology,1
ghana part 1 1941 1952 and ghana part 2 1952 1957,economics,3
the racialization of white man s polygamy,politics,2
children s reaction times to verbal and nonverbal tachistoscopic stimuli exposed to the left and right visual hemifields,psychology,1
the combined effect of soft tissue and craniofacial risk factors on the severity of obstructive sleep apnea in the iceland sleep apnea cohort,medicine,0
understanding of recent china japan trade conflict,economics,3
the heyden new world atlas,geography,4
let s count goats review,psychology,1
the studies of ethnobotahy should be developed as soon as possible in southeast guizhou,geography,4
protection of intellectual property right for new crop varieties,business,5
prospects and problems of land reform in india,economics,3
development of daily spatial heat unit mapping from monthly climatic surfaces for the australian continent,geography,4
rotterdam scandinavia shortsea shipping into the future,business,5
detecting osahs from patterns seen on heart rate tachograms,medicine,0
is the impairment of cough efficacy associated to the development of postoperative pulmonary complications after upper abdominal surgery,medicine,0
3 fight back education s radical future,sociology,6
life education permeate the cultivation of ethics and fundamentals of law,economics,3
microbiological quality of food in relation to hazard analysis systems and food hygiene training in uk catering and retail premises,business,5
the german center party 1870 1933 a study in political catholicism by ellen lovell evans carbondale southern illinois university press 1981 xi 433 pp 35 00,politics,2
the spanish labyrinth an account of the social and political background of the spanish civil war gerald brenan new york cambridge university press canto edition 1990 pp 384 incl index 10 95,politics,2
the better health business bureau a modest suggestion for leveling the health care marketplace,business,5
transparency will influence how members choose providers,business,5
the changing tide of professional print media and teaching patriotism 1916 1956,politics,2
reflect on quality of higher education,economics,3
130 cumulative stress and the body analyzing the construct of allostatic load in a sample of mexican american women,psychology,1
race rumor and rebellion a rumor of revolt the great negro plot in colonial new york,sociology,6
emphysema assessment on ct examination visual and texture based quantitative analysis,medicine,0
some considerations on the ipfm model for the heart rate variability analysis,medicine,0
rapid communication and the high school curriculum,psychology,1
the journal and its contents,psychology,1
robert c hsu economic theories in china 1979 1988 cambridge cambridge university press 1991 xii 198 pp cloth 42 95,sociology,6
compartments and cohesions in adaptive behavior,psychology,1
the samaritan s dilemma the political economy of development aid,sociology,6
the new demand on business administration in era of knowledge driven economy,business,5
importance of circadian rhythms for regulation of the cardiovascular system studies in animal and man,medicine,0
opinions of literature teachers related to academic training in service training and organizational socialization process,psychology,1
inter role conflict role strain and role play in chile s relationship with brazil,sociology,6
research on chinese agricultural product export trade influence factor,economics,3
an ecological interpretation of ernest thompson seton s wild animals i have known,sociology,6
knowing where we are,geography,4
a study of correlation of exercise induced desaturation and mortality in patients with idiopathic and secondary pulmonary fibrosis,medicine,0
feminine i can on possibility and praxis in agamben s work,sociology,6
creation of provincial supreme board in pamplona and the hit against corregidor juan bastus y faya,sociology,6
using personal and fictional documents to assess psychosocial development a case study of vera brittain s generativity,psychology,1
governance costs and the problems of large traditional co operatives,economics,3
on the technical barriers trade for the textiles and clothing,economics,3
gratitude to our reviewers,psychology,1
missile messages iran strikes mko bases in iraq,sociology,6
the xhosa cattle killing and the politics of memory,politics,2
treatment to the disaster debris flow among the qingshan river mashankou town henan province,geography,4
the photography of ha during solar eclipses,geography,4
re yews and squirrels,geography,4
building paris architectural institutions and the transformation of the french capital 1830 1870 david van zantenparis as revolution writing the nineteenth century city priscilla parkhurst ferguson,sociology,6
genetically determined african ancestry is associated with acute kidney injury in critically ill trauma patients,medicine,0
restorative juvenile justice repairing the harm of youth crime review of g bazemore l walgrave 2000 restorative juvenile justice repairing the harm of youth crime,sociology,6
analysis of the spirit of realism in the novel ordinary world,politics,2
the kuwait crisis of 1961 and its consequences for great britain s persian gulf policy,politics,2
special issue on constructing the self online,psychology,1
trenton votes to put strict limits on use of gene tests by insurers,business,5
l invention du patrimoine urbain a singapour entre fantomes ancestraux et ville mondiale,sociology,6
a view from the interior feminism women and design judy attfield and pat kirkham eds women s press london uk 1989 100 pages 8 95,geography,4
developing an electronic health record for intractable diseases in japan,medicine,0
nationalizing the local past in sri lanka histories of nation and development in a sinhalese village,sociology,6
the small shop in the urban retail economy a case study in northern ireland,geography,4
an analysis of unfavourable factors in the conversion of scientific and technological achievements,economics,3
susceptibility evaluation of debris flow in the wudu district longnan city gansu province,geography,4
technology infusion and higher education changing teaching and learning,psychology,1
comparative pharmacodynamic effects of two clopidogrel formulations under steady state conditions in healthy thai volunteers,medicine,0
the preaching must never stop remembering larry moss,sociology,6
rethinking homo economicus in the political sphere,politics,2
group purchasing the road ahead,business,5
gun ownership and individual self preservation in united states,business,5
the effectiveness of foreign exchange interventions under a floating exchange rate regime for the turkish economy a post crisis period analysis,economics,3
understanding adolescent suicide a psychosocial interpretation of developmental and contextual factors,psychology,1
the role legal environment for shanghai to become an international financial center,business,5
supporting nurses decisions with a multi attribute model for patient health evaluation,medicine,0
reponse a luc de heusch,sociology,6
implementation of a public health client data base lessons learned,medicine,0
social relations and spatial structures,geography,4
prediction and analysis of environmental kuznets curve based on fuzzy neural network,economics,3
the behavioral character of government approval and possible reasons for excessive approvals,business,5
simple models for spice assist power electronics circuit simulation on pcs,medicine,0
development of tourist geological resources in lijiang yunnan,geography,4
moloney james clark the battle for mental health pp x 105 new york philosophical library 1952 3 50,sociology,6
cities and the night time economy,economics,3
primary report of interplant of purple sweet potato in woodland in yuxi,geography,4
quality control in a holter laboratory,medicine,0
struggling for rights african women and the sanspapiers movement in france,politics,2
gesellen in der stadt,sociology,6
socio economic status of neighbourhoods of delhi urban,business,5
geospatial data policy study,geography,4
the internationalization of entrepreneurship,business,5
effets de groupe sur la structuration perceptive ii comparaison des sujets feminins et des sujets masculins resultats quantitatifs,psychology,1
privacy at the margins concerns skills and activities multilayered privacy issues in disadvantaged urban communities,sociology,6
dynamic emulation of the effects from individual tree to lower solar radiation distribution,geography,4
high growth entrepreneurs the relevance of business knowledge and work experience on venture success,business,5
fossilized memory the german russian energy partnership and the production of energo political knowledge,politics,2
international relocation do we stand alone,business,5
predictors of retention in an alcohol and risky sex prevention program for homeless young adults,psychology,1
umdenken in der naturwissenschaft,economics,3
fund fees do you pay too much,business,5
successive contrast effects for judgments of abstraction in artwork following minimal pre exposure,psychology,1
discussion on the chinese communist party s idea for the proletariat s leadership from the failure of the great revolution,politics,2
moderating effect of customer value on the relationship between physical environment customer satisfaction and revisit intention in the bakery cafe,business,5
a comparative evaluation of use of landsat mss fcc and mkf 6m photographs for forest type delineation,geography,4
chapter two military and civilian capabilities for eu led crisis management operations,business,5
small farmer risk aversion peasant reality or policymakers rationalization,economics,3
adhd across cultures is there evidence for a bidimensional organization of symptoms,psychology,1
vital statistics rates in the united states 1900 1940 forrest e linder robert d grove,sociology,6
time inconsistency of protectionist programs,politics,2
klient z komputera,business,5
directional set in serial perceptual motor tasks,psychology,1
understanding the climate change battle of attitudes,politics,2
a ââa study on the problems perspectives and implicationsof the new direct benefit transfer scheme withreference to kanchipuram district of tamilnadua ââ,business,5
interaction of spatial and temporal factors in psychophysical estimates of surround suppression,psychology,1
contribution de la technologie importee a la croissance sovietique,sociology,6
planting date by maturity group in kansas 2016 season and three year summary,geography,4
resena de mexico frente a la inmigracion de refugiados judios 1934 1940 de daniela gleizer salzman,sociology,6
change and continuity in american politics the social bases of political parties by knoke david baltimore and london the johns hopkins university press 1976 pp xv 192 11 50,politics,2
the social basis of voting correctly,politics,2
mediterranean homelands transnational perspectives on continuing the migratory tradition across generations,geography,4
the role of credit currency and debt crises in trade performance a product disaggregated panel data analysis,economics,3
predictable blood pressure variability in a healthy pregnancy assessed by longitudinal monitoring,medicine,0
application of gray relevance analysis to evaluation of customer satisfaction on beverage market,business,5
contracting with private providers for primary care services evidence from urban china,economics,3
the economics of agricultural rural and environmental policy in canada discussion,economics,3
an image guided treatment platform for prostate cancer photodynamic therapy,medicine,0
the inflammatory response induced from lps inhalation is altered with prior thoracic irradiation,medicine,0
when does policy reform work the case of central bank independence,politics,2
a new modal representation of liver deformation for non rigid registration in image guided surgery,medicine,0
employment and the new challenges,business,5
the conceptualization measurement and effects of school leadership introduction to the special issue,psychology,1
vigor predicting health outcomes in a high risk occupational context,psychology,1
oil and governance in uganda,business,5
impact of child sex abuse on adult psychopathology a genetically and epigenetically informed investigation,psychology,1
optimal private and public harvesting under spatial and temporal interdependence,economics,3
uniform statistical reports on insanity now assured an official classification of psychoses,psychology,1
increasing income with diverse sources,economics,3
ranking early signs of coronary heart disease among indian patients,medicine,0
high school theatre inventory,psychology,1
ct dataset anisotropy management for oral implantology planning software,medicine,0
beta blockers enhance the anti inflammatory effects of steroids in a murine asthma model,medicine,0
mouse parenchymal fibroblasts are intrinsically different from large and small airway fibroblasts and also differ in their response after in vivo cigarette smoke exposure,medicine,0
analysis of selected forestry indicators in hungary and slovakia from european area,economics,3
automated prediction of spontaneous termination of atrial fibrillation from electrocardiograms,medicine,0
the study of the temple distribution of linan capital in song dynasty,geography,4
improving african food security,economics,3
analysis of influencing mechanism of residents livability satisfaction in beijing using geographical detector,geography,4
whole exome sequencing identifies a recessive heatr2 mutation in amish pcd patients,medicine,0
evidence for the participation of nigrotectal γ aminobutyrate containing neurones in striatal and nigral derived circling in the rat,psychology,1
literacies and new technologies in school settings,sociology,6
flexible bronchoscopy following lung transplantation a one year experience,medicine,0
la dynamique de l enseignement superieur prive au cameroun,business,5
the surface history of the earth,geography,4
the north korea story confucius communism and the bomb,sociology,6
an explanation of distributional characteristics of ancient stages in shanxi in space vision,geography,4
property owning democracy civic education and the reasonable surfer,politics,2
people in threes going up in smoke and other triplicities in russian literature and culture,psychology,1
performance funding fashionable fad or emerging trend,business,5
utility of the copd assessment testtm cat in stable copd,medicine,0
viewpoint induced innovation in fisheries and aquaculture,economics,3
three dimensional digital restoration and surface depth modeling for shape analysis of stone cultural heritage haeundae stone inscription,geography,4
need for regulatory revamp of private institutions,business,5
effectiveness of a peer led education program for adolescents with asthma in jordanian schools,medicine,0
the feldstein horioka puzzle across eu members evidence from the ardl bounds approach and panel data,economics,3
ideology and the interpretation of personal experience procedural justice and political quiescence,politics,2
does cannabidiol protect against the negative effects of thc,psychology,1
the political dynamics of market organization cultural framing neoliberalism and the case of airline deregulation,sociology,6
book review message diffusion under uncontrolled conditions judson b pearson jiri nehnevajsa rodney d elliott,sociology,6
parliamentary government in japan,sociology,6
state activism and state censorship,politics,2
noaa map and chart products present activities and trends,geography,4
spontaneous kicking in full term and preterm infants with and without white matter disorder,psychology,1
making letters distinctive,psychology,1
por que los buenos proyectos tambien fracasan,business,5
literature review on the determinants of fdi,economics,3
the columbia river treaty the economics of an international river basin development,economics,3
book review people poverty and politics pennsylvania during the great depression by thomas h coode and john f bauman,politics,2
sexual assault and coercion among incarcerated women prisoners excerpts from prison letters,psychology,1
everything old is new again the evolution of library and information science education from lis to ifield,sociology,6
recommendations for treating adult and geriatric patients on multimedication,medicine,0
quality of life in obstructive sleep apnea patients performance of a specific instrument in mexican population,medicine,0
marius jucan mastile libertatii america in scrisorile lui thomas jefferson freedom s masks america seen through the letters of thomas jefferson,politics,2
authorship trends in agriculture research a bibliometric analysis,geography,4
from tqm to trm,business,5
nad27 to nad83 the alberta experience,geography,4
the connection between the plasma concentration of nortriptylin and its antidepressive effect in endogenous depressions,psychology,1
384 spatio temporal brain dynamics during card sorting,psychology,1
an olympiad of science,geography,4
factors affecting cognitive functioning in a sample of human immunodeficiency virus positive injection drug users,psychology,1
study on talent magnetic field effects of strategic emerging industrial clusters,business,5
ciclo diario de precipitacoes pluviais em intervalos de cinco minutos no municipio de fortaleza,geography,4
remodeling of small pulmonary veins the critical lesion in equine exercise induced pulmonary hemorrhage,medicine,0
value creation and networking in coopetition and public value management the two challenging complementing frameworks of management studies,business,5
inhibition of cigarette smoke induced chemokine production by the nrf2 activator sulforaphane,medicine,0
