,dimensiones,accuracy,clasif_rep,matrix,tiempo
0,1,0.328,"              precision    recall  f1-score   support

           0       0.25      0.27      0.26       745
           1       0.47      0.46      0.46       736
           2       0.26      0.26      0.26       731
           3       0.33      0.32      0.33       788

    accuracy                           0.33      3000
   macro avg       0.33      0.33      0.33      3000
weighted avg       0.33      0.33      0.33      3000
","[[201 140 200 204]
 [160 338 128 110]
 [203 141 192 195]
 [226  99 210 253]]",6.92361044883728
1,2,0.43166666666666664,"              precision    recall  f1-score   support

           0       0.40      0.46      0.43       745
           1       0.63      0.69      0.66       736
           2       0.31      0.28      0.29       731
           3       0.35      0.31      0.33       788

    accuracy                           0.43      3000
   macro avg       0.42      0.43      0.43      3000
weighted avg       0.42      0.43      0.43      3000
","[[343  94 144 164]
 [ 80 506  76  74]
 [198 113 202 218]
 [232  92 220 244]]",5.877084016799927
2,4,0.5776666666666667,"              precision    recall  f1-score   support

           0       0.53      0.56      0.54       745
           1       0.81      0.82      0.81       736
           2       0.46      0.43      0.45       731
           3       0.51      0.51      0.51       788

    accuracy                           0.58      3000
   macro avg       0.58      0.58      0.58      3000
weighted avg       0.58      0.58      0.58      3000
","[[419  72 130 124]
 [ 58 601  43  34]
 [147  46 315 223]
 [172  27 191 398]]",9.10970950126648
3,8,0.729,"              precision    recall  f1-score   support

           0       0.74      0.71      0.73       745
           1       0.84      0.87      0.85       736
           2       0.69      0.65      0.67       731
           3       0.66      0.68      0.67       788

    accuracy                           0.73      3000
   macro avg       0.73      0.73      0.73      3000
weighted avg       0.73      0.73      0.73      3000
","[[531  58  68  88]
 [ 37 642  24  33]
 [ 61  34 475 161]
 [ 90  33 126 539]]",8.196198463439941
4,16,0.8106666666666666,"              precision    recall  f1-score   support

           0       0.82      0.77      0.80       745
           1       0.87      0.92      0.90       736
           2       0.79      0.75      0.77       731
           3       0.76      0.81      0.78       788

    accuracy                           0.81      3000
   macro avg       0.81      0.81      0.81      3000
weighted avg       0.81      0.81      0.81      3000
","[[574  50  63  58]
 [ 28 676   9  23]
 [ 37  22 547 125]
 [ 57  25  71 635]]",15.832756996154785
5,32,0.8563333333333333,"              precision    recall  f1-score   support

           0       0.86      0.84      0.85       745
           1       0.91      0.96      0.93       736
           2       0.84      0.77      0.80       731
           3       0.82      0.86      0.84       788

    accuracy                           0.86      3000
   macro avg       0.86      0.86      0.86      3000
weighted avg       0.86      0.86      0.86      3000
","[[627  45  45  28]
 [ 15 703   8  10]
 [ 44  10 562 115]
 [ 41  15  55 677]]",20.33322024345398
6,64,0.8753333333333333,"              precision    recall  f1-score   support

           0       0.87      0.85      0.86       745
           1       0.92      0.97      0.94       736
           2       0.88      0.79      0.83       731
           3       0.84      0.89      0.86       788

    accuracy                           0.88      3000
   macro avg       0.88      0.88      0.87      3000
weighted avg       0.88      0.88      0.87      3000
","[[632  45  39  29]
 [ 12 715   2   7]
 [ 43   9 579 100]
 [ 38  12  38 700]]",34.43112397193909
7,128,0.8886666666666667,"              precision    recall  f1-score   support

           0       0.90      0.86      0.88       745
           1       0.92      0.99      0.95       736
           2       0.89      0.80      0.84       731
           3       0.85      0.90      0.88       788

    accuracy                           0.89      3000
   macro avg       0.89      0.89      0.89      3000
weighted avg       0.89      0.89      0.89      3000
","[[643  43  37  22]
 [  5 726   1   4]
 [ 38   9 587  97]
 [ 32   9  37 710]]",49.20364594459534
8,256,0.8933333333333333,"              precision    recall  f1-score   support

           0       0.90      0.86      0.88       745
           1       0.93      0.98      0.95       736
           2       0.89      0.81      0.85       731
           3       0.86      0.92      0.89       788

    accuracy                           0.89      3000
   macro avg       0.89      0.89      0.89      3000
weighted avg       0.89      0.89      0.89      3000
","[[641  44  39  21]
 [  6 723   2   5]
 [ 41   9 592  89]
 [ 26   3  35 724]]",74.26465344429016
9,512,0.8923333333333333,"              precision    recall  f1-score   support

           0       0.90      0.86      0.88       745
           1       0.93      0.99      0.96       736
           2       0.88      0.81      0.84       731
           3       0.86      0.91      0.88       788

    accuracy                           0.89      3000
   macro avg       0.89      0.89      0.89      3000
weighted avg       0.89      0.89      0.89      3000
","[[642  42  40  21]
 [  4 726   2   4]
 [ 40   7 590  94]
 [ 30   3  36 719]]",104.36891436576843
10,1024,0.8926666666666667,"              precision    recall  f1-score   support

           0       0.90      0.87      0.88       745
           1       0.93      0.99      0.96       736
           2       0.88      0.81      0.84       731
           3       0.86      0.91      0.88       788

    accuracy                           0.89      3000
   macro avg       0.89      0.89      0.89      3000
weighted avg       0.89      0.89      0.89      3000
","[[647  42  37  19]
 [  5 726   2   3]
 [ 42   6 589  94]
 [ 28   4  40 716]]",156.15559816360474
